Fruit Type,Fruit Waste (kg),Method,C:N Ratio,Time to Manure (weeks),Finished Manure (kg)
banana,5,Composting,29.28,9.8,3.22
banana,10,Composting,29.59,10.3,7.18
banana,15,Composting,31.49,9.7,11.15
banana,20,Composting,31.43,10.8,12.38
banana,25,Composting,28.74,11.1,14.89
banana,30,Composting,31.42,10.4,20.75
banana,35,Composting,30.93,9.6,23.6
banana,40,Composting,29.94,9.7,25.41
banana,5,Vermiculture,31.13,5.8,2.77
banana,10,Vermiculture,29.45,6.2,5.37
banana,15,Vermiculture,29.72,6.7,8.54
banana,20,Vermiculture,30.93,5.7,11.34
banana,25,Vermiculture,29.87,6.5,15.38
banana,30,Vermiculture,28.6,6.0,18.7
banana,35,Vermiculture,29.03,6.0,19.31
banana,40,Vermiculture,31.26,6.7,20.56
apple,5,Composting,28.19,13.1,2.91
apple,10,Composting,28.96,12.3,5.77
apple,15,Composting,28.19,13.0,9.85
apple,20,Composting,27.29,13.1,13.41
apple,25,Composting,28.59,11.6,16.34
apple,30,Composting,26.62,11.8,17.86
apple,35,Composting,28.25,11.7,18.41
apple,40,Composting,28.47,13.4,20.68
apple,5,Vermiculture,28.73,9.1,2.86
apple,10,Vermiculture,28.41,7.8,4.97
apple,15,Vermiculture,27.98,8.0,7.86
apple,20,Vermiculture,29.03,8.2,9.09
apple,25,Vermiculture,27.33,7.8,13.51
apple,30,Vermiculture,28.12,8.5,14.29
apple,35,Vermiculture,28.85,8.8,17.48
apple,40,Vermiculture,27.16,8.2,21.02
litchi,5,Composting,26.15,15.7,3.36
litchi,10,Composting,23.89,15.4,5.89
litchi,15,Composting,24.16,15.9,10.58
litchi,20,Composting,25.82,14.5,10.9
litchi,25,Composting,23.75,16.0,13.29
litchi,30,Composting,25.58,13.9,15.83
litchi,35,Composting,24.7,14.5,22.49
litchi,40,Composting,25.49,13.6,21.93
litchi,5,Vermiculture,25.54,10.3,2.79
litchi,10,Vermiculture,25.48,10.0,5.45
litchi,15,Vermiculture,25.15,9.5,8.5
litchi,20,Vermiculture,26.22,10.0,9.76
litchi,25,Vermiculture,26.14,8.7,13.21
litchi,30,Vermiculture,24.89,9.5,16.27
litchi,35,Vermiculture,25.34,9.4,17.89
litchi,40,Vermiculture,24.92,8.8,20.43
mango,5,Composting,26.42,16.9,3.07
mango,10,Composting,25.3,16.7,5.34
mango,15,Composting,26.12,16.1,9.19
mango,20,Composting,26.43,16.8,11.41
mango,25,Composting,26.58,15.5,15.3
mango,30,Composting,25.48,15.3,15.06
mango,35,Composting,25.73,15.8,19.39
mango,40,Composting,25.81,17.3,23.04
mango,5,Vermiculture,25.79,11.4,2.39
mango,10,Vermiculture,26.55,12.6,4.77
mango,15,Vermiculture,25.44,13.0,7.92
mango,20,Vermiculture,25.73,12.5,11.22
mango,25,Vermiculture,27.08,11.7,13.47
mango,30,Vermiculture,25.19,13.7,13.8
mango,35,Vermiculture,24.9,13.5,18.93
mango,40,Vermiculture,27.3,13.1,23.61
grapes,5,Composting,27.7,9.3,3.4
grapes,10,Composting,26.33,8.6,6.1
grapes,15,Composting,28.33,9.8,8.5
grapes,20,Composting,26.33,9.9,12.38
grapes,25,Composting,27.03,8.9,16.16
grapes,30,Composting,25.98,8.7,18.85
grapes,35,Composting,27.71,9.6,20.36
grapes,40,Composting,27.98,10.0,28.12
grapes,5,Vermiculture,26.64,7.4,2.89
grapes,10,Vermiculture,26.79,7.0,5.03
grapes,15,Vermiculture,27.5,7.0,8.94
grapes,20,Vermiculture,27.79,7.6,9.72
grapes,25,Vermiculture,27.99,7.1,13.25
grapes,30,Vermiculture,26.55,7.1,16.51
grapes,35,Vermiculture,26.16,8.0,17.45
grapes,40,Vermiculture,27.15,7.2,21.05
lemon,5,Composting,25.02,12.0,3.13
lemon,10,Composting,22.9,12.0,6.4
lemon,15,Composting,23.66,12.0,9.5
lemon,20,Composting,24.74,11.5,12.93
lemon,25,Composting,24.56,12.0,18.04
lemon,30,Composting,23.18,10.7,19.65
lemon,35,Composting,24.91,11.3,24.79
lemon,40,Composting,22.94,10.8,28.43
lemon,5,Vermiculture,23.91,8.6,2.37
lemon,10,Vermiculture,24.58,7.9,5.5
lemon,15,Vermiculture,25.04,8.7,8.71
lemon,20,Vermiculture,22.85,8.6,8.92
lemon,25,Vermiculture,24.88,8.8,13.29
lemon,30,Vermiculture,23.9,8.5,13.69
lemon,35,Vermiculture,24.47,7.7,19.1
lemon,40,Vermiculture,22.99,9.0,17.74
jackfruit,5,Composting,31.83,19.0,2.91
jackfruit,10,Composting,31.24,19.3,5.74
jackfruit,15,Composting,33.02,20.6,8.19
jackfruit,20,Composting,32.61,18.2,11.29
jackfruit,25,Composting,30.64,18.8,14.92
jackfruit,30,Composting,30.8,20.7,15.29
jackfruit,35,Composting,30.47,20.2,17.9
jackfruit,40,Composting,30.66,20.1,23.97
jackfruit,5,Vermiculture,31.53,13.4,2.65
jackfruit,10,Vermiculture,31.32,14.0,4.73
jackfruit,15,Vermiculture,31.58,13.6,8.6
jackfruit,20,Vermiculture,33.53,15.5,8.99
jackfruit,25,Vermiculture,31.7,15.7,12.31
jackfruit,30,Vermiculture,31.25,13.7,12.98
jackfruit,35,Vermiculture,30.96,15.7,15.65
jackfruit,40,Vermiculture,33.58,14.0,18.2
tomato,5,Composting,22.5,9.1,3.9
tomato,10,Composting,21.49,8.8,6.69
tomato,15,Composting,22.84,7.8,11.8
tomato,20,Composting,21.89,8.9,12.6
tomato,25,Composting,20.98,8.0,19.28
tomato,30,Composting,22.85,8.6,22.16
tomato,35,Composting,22.67,9.1,21.01
tomato,40,Composting,22.58,8.3,28.97
